prot_IDs,prot_names,Gene_names,translation_G1_1,translation_G1_2,translation_G1_3,translation_G2M_1,translation_G2M_2,translation_G2M_3,translation_MG1_1,translation_MG1_2,translation_MG1_3,translation_S_1,translation_S_2
Q96IU4;F8W9U3;B4DQI4;B4DNR3,Abhydrolase domain-containing protein 14B,ABHD14B,22.18918,21.68457,22.56167,23.64823,22.94344,23.95047,22.4851,23.32237,22.32986,21.79384,23.19565
O95870;O95870-2;F6WSP1;F2Z3H2,Abhydrolase domain-containing protein 16A,ABHD16A,,22.09922,,,20.8674,22.39968,,20.94963,21.20108,21.9775,21.9754
P08910;H3BUZ6;H3BMT2;H3BN19,Abhydrolase domain-containing protein 2,ABHD2,21.16521,21.76328,22.62899,22.8118,23.05102,23.47778,22.88426,23.12572,22.56551,21.98301,22.08936
Q8WU67,Abhydrolase domain-containing protein 3,ABHD3,23.64548,23.86967,24.34381,23.55812,22.38669,22.73876,24.23162,24.29018,22.33658,23.33484,23.48259
Q8TB40;B4DDH7;F5H6T0;F5H067;H0YFD5,Abhydrolase domain-containing protein 4,ABHD4,21.8768,,20.63874,22.78843,20.58509,,22.89512,21.01352,20.64737,,
A6NFN2;Q8IZP0;H7BXI6;F8WA56;Q8IZP0-9;Q8IZP0-6;Q8IZP0-5;Q8IZP0-3;Q8IZP0-4;Q8IZP0-2;F8WA55;Q8IZP0-7;F5H1G9;Q8IZP0-8;Q8IZP0-10;Q9NYB9-3;Q8IZP0-11,Abl interactor 1,ABI1,21.44587,21.31302,22.64017,21.45709,21.58742,23.07938,22.14392,21.45207,21.41209,22.18758,21.65097
P00519-2;P00519;H7C1H8,Tyrosine-protein kinase ABL1,ABL1,23.6826,23.7044,23.72671,23.75491,23.15962,23.34881,23.23273,22.02945,21.85064,23.36025,23.17309
P42684;P42684-6;P42684-5;P42684-7;P42684-8,Abelson tyrosine-protein kinase 2,ABL2,21.1384,21.05986,21.36986,21.78608,20.65735,21.26637,20.99196,20.71716,20.81464,21.07058,20.6289
P42684-3;D1MPS6;P42684-10;P42684-4;P42684-2;P42684-9,,ABL2,23.61369,24.09788,24.38304,24.53949,24.06719,24.51497,23.66601,24.16154,23.32869,25.00787,25.13422
A6NCD9;Q5T6N4;O14639;A6NKJ2;F8W8M4;O14639-2;F8WAB0;Q5T6N2;F8WAB1;H0Y3K7;Q5JVV3;O14639-5;O14639-3;O14639-4;F6XFR5;H0Y7N6,Actin-binding LIM protein 1,ABLIM1,20.42029,21.3344,21.00614,21.07071,20.15906,,20.33287,21.30179,20.28331,20.81394,20.05417
Q12979;Q12979-2;F5H8B3;B7Z683;E9PFN9;I3L2P5;I3L1U8;I3L3W0;H0Y2V4;H0Y554;I3L0R7;I3L379,Active breakpoint cluster region-related protein,ABR,22.51217,22.60623,21.55412,23.62678,22.828,23.70936,23.29642,21.99841,22.46508,22.74102,23.0612
Q9ULW3,Activator of basal transcription 1,ABT1,20.3308,20.70472,20.83869,21.3019,20.21774,21.43441,22.87927,21.01339,20.84015,20.37348,21.96275
E9PRW7,,ABTB2,,,,,,,,,,19.60576,
P42765,"3-ketoacyl-CoA thiolase, mitochondrial",ACAA2,25.60975,25.74224,25.8138,25.89386,25.35212,26.16666,25.94891,25.74289,25.56993,25.54531,25.61897
Q13085;Q13085-2;D3YTK0,Acetyl-CoA carboxylase 1;Biotin carboxylase,ACACA,33.89003,33.75593,33.99598,33.07032,32.33242,32.96191,33.93227,33.75424,33.72141,32.91024,32.78583
O00763;O00763-2;F8W8T8;H7BYH5;H0YGH5;F6QQI9;F5H8F2;F5H3T2,Acetyl-CoA carboxylase 2;Biotin carboxylase,ACACB,24.80858,24.9428,24.82503,25.40009,24.15097,24.9232,25.82641,25.00517,24.07537,23.3453,23.36506
G3XAJ0;Q6JQN1;Q6JQN1-2;F8W1I9;Q6JQN1-4;F8VZG7;D6RFF6,Acyl-CoA dehydrogenase family member 10,ACAD10,,20.38448,20.24342,,,,20.50184,,20.30764,,20.47635
Q9H845;F8WAN8;H0Y8Z9;D6RCD8,"Acyl-CoA dehydrogenase family member 9, mitochondrial",ACAD9,24.36399,24.48928,23.73314,24.07863,23.71931,24.5491,24.64559,24.31603,24.03926,24.10398,24.29775
Q5T4U5;P11310-2;P11310;B7Z9I1;E9PJM9;B4DJE7;E9PRX4;H0YDT5,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADM,23.35595,23.18477,23.57773,23.72952,22.53177,24.24213,23.3581,23.2856,22.6751,23.14503,23.6479
G3V1M7;F5H2A9;P49748;P49748-2,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADVL,27.25377,27.23526,27.34181,27.65239,27.15248,28.01808,27.61968,27.54267,27.75283,27.15721,27.19009
Q15057;H7C3Q8;H7C1E0;C9J8L1,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",ACAP2,24.45645,24.06373,24.37312,24.99951,23.71251,24.86462,24.27803,24.30145,23.95198,24.01733,24.02479
P24752;G3XAB4;H0YEL7;E9PRQ6;E9PKF3,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,24.70788,25.15796,25.10278,25.25631,24.33019,25.31154,25.13465,24.72552,24.75047,25.28164,24.8893
B7Z233;Q9BWD1,"Acetyl-CoA acetyltransferase, cytosolic",ACAT2,20.1442,21.06434,21.39827,20.77354,20.12981,21.15295,22.02925,20.97449,,20.56039,21.1881
Q9H3P7,Golgi resident protein GCP60,ACBD3,23.32567,24.06126,23.96728,24.20015,23.61583,24.16676,23.95917,23.93688,23.54156,23.75154,23.85424
Q5T8D3-3;Q5T8D3-2;Q5T8D3;H7BYB2;Q5T8D3-4;B7Z2A7;Q8NC06-3;Q8NC06-2;Q5T8E0;Q8NC06,Acyl-CoA-binding domain-containing protein 5;Acyl-CoA-binding domain-containing protein 4,ACBD5;ACBD4,21.36661,21.43619,21.4765,20.53744,21.02972,21.70923,21.79867,20.73777,20.43888,,19.73339
Q9BR61,Acyl-CoA-binding domain-containing protein 6,ACBD6,,22.07914,20.6109,20.95922,21.02587,21.91119,20.98169,22.00535,21.9239,,20.31529
Q96AP0;Q96AP0-2,Adrenocortical dysplasia protein homolog,ACD,22.86242,23.15618,22.99077,21.40587,21.81433,21.52936,23.34204,20.80049,22.5464,23.03875,22.97088
Q9UKV3;E7EQT4;Q9UKV3-5;Q9UKV3-2;Q9UKV3-3;G3V3B0;G3V3T3,Apoptotic chromatin condensation inducer in the nucleus,ACIN1,27.48454,27.13046,27.04687,27.1673,26.67223,27.45717,27.29842,27.41248,26.85055,27.15083,27.22002
E7ENH9;P53396;P53396-2;B4E3P0,ATP-citrate synthase,ACLY,30.2135,29.85384,30.22699,30.39499,29.75683,30.34477,30.67741,28.83274,29.40357,29.5224,29.09826
P21399;Q59FI0;Q9HBB2;Q5VZA6,Cytoplasmic aconitate hydratase,ACO1;IRP1,21.65307,21.20622,22.72165,21.47487,19.73965,23.13049,21.54435,,21.51788,21.8459,22.0491
A2A274;Q99798;F5H2A5;B4DW08;B4DEC3,"Aconitate hydratase, mitochondrial",ACO2,23.59104,23.16564,24.35394,23.69466,23.68571,24.30069,24.28623,23.86108,23.64768,23.39034,23.46712
Q9NPJ3;F5H2L4,Acyl-coenzyme A thioesterase 13,ACOT13,20.62444,21.70227,21.22964,21.3921,21.18924,21.91339,21.56188,23.00554,22.04093,22.10345,21.86439
P49753;Q86TX2;G3V4F2;P49753-2;B3KSA0,"Acyl-coenzyme A thioesterase 2, mitochondrial;Acyl-coenzyme A thioesterase 1",ACOT2;ACOT1,22.48675,22.10977,23.15943,23.93445,22.34411,21.99459,21.70303,22.46777,22.76038,23.61986,23.5899
O00154;O00154-5;O00154-4;O00154-6;O00154-3;O00154-2;B4DUX0;F5GWE2,Cytosolic acyl coenzyme A thioester hydrolase,ACOT7,24.00153,24.55707,24.66324,24.48714,24.04877,24.00041,24.52964,24.3234,23.77213,24.14647,24.26549
Q9Y305-4;Q9Y305;Q9Y305-2;Q9Y305-3;H7C5Q2;C9J7L8;F8WDI2,"Acyl-coenzyme A thioesterase 9, mitochondrial",ACOT9,25.4602,25.54634,25.54442,26.03242,25.26119,26.00823,25.67112,25.76944,25.54395,25.4801,25.09607
Q15067;Q15067-2;F5GYQ8;F5H0M0;I3L0T4;I3L2U4,Peroxisomal acyl-coenzyme A oxidase 1;Acyl-coenzyme A oxidase,ACOX1,23.03592,22.08021,22.27929,21.44673,21.28658,22.74255,22.88441,21.93808,20.80033,21.13815,21.63139
P24666;B5MCC7;G5E9R5;C9JNS5;F2Z2Q9;P24666-2;P24666-3;D3YTI2,Low molecular weight phosphotyrosine protein phosphatase,ACP1,23.74026,24.00676,24.45419,24.13289,23.54286,24.8918,24.03532,24.50458,23.36333,23.77917,23.84642
P11117;F5H1S6;E9PQY3;B7Z7D2;E9PHY0;E9PP23;B7Z6U3;E9PCI1;E9PQW9;E9PKW9;G5EA28;F5GWV7,Lysosomal acid phosphatase,ACP2,24.51971,24.44891,25.41355,24.23951,23.6536,24.37696,24.27923,23.65436,23.68656,23.77304,23.63556
O95573;H7C260;F5GWH2;H7BYZ7,Long-chain-fatty-acid--CoA ligase 3,ACSL3,25.28584,25.28086,25.41009,25.58072,24.73417,26.14262,25.67104,25.21745,24.94436,24.826,25.08371
O60488;O60488-2;D6RF95;D6RD96;H0Y9A0;D6RDA8;D6RFW9,Long-chain-fatty-acid--CoA ligase 4,ACSL4,24.90477,25.14126,25.13751,25.48646,24.79927,26.03078,25.4593,25.40311,25.16208,25.03796,24.9914
Q9ULC5-3;Q9ULC5;Q9ULC5-4;B4DX30;Q9UKU0-1;Q9UKU0-8;Q9UKU0-6;Q9UKU0;Q9UKU0-3;Q9UKU0-5;E7ERD7;Q9UKU0-2;G3V1S9;C9J8C7,Long-chain-fatty-acid--CoA ligase 5,ACSL5,23.46064,23.21976,23.09007,23.13085,22.58838,24.38357,23.73923,23.07959,21.05636,23.11445,23.70166
REV__Q9NYC9;REV__E7EP17;REV__Q9NYC9-2;REV__H0Y3W2;REV__Q9NYC9-3;Q9H6R3;F8VZB4,"Acyl-CoA synthetase short-chain family member 3, mitochondrial",ACSS3,,22.43913,22.31222,,19.8271,20.65325,,22.7131,21.98624,21.63993,
P68032;P68133;P62736;P63267;F5H1C1;A6NL76;Q5T8M8;Q5T8M7;E7EQV5;B4DUI8;E9PG30;F6QUT6;F6UVQ4;C9JFL5;B8ZZJ2;F8WB63,"Actin, alpha cardiac muscle 1;Actin, alpha skeletal muscle;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle",ACTC1;ACTA1;ACTA2;ACTG2,28.81069,29.18804,29.1874,28.90733,28.35586,29.9538,29.27233,28.97019,28.82004,28.56939,28.44229
P63261;F5H0N0;I3L3I4;I3L1U9;I3L3I0;I3L4N8;I3L3R2,"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed",ACTG1,27.70127,28.37472,28.09637,28.41627,28.1725,26.97749,27.95577,28.43694,28.00045,,27.89163
O96019;O96019-2;H7C5S0;C9JQT2;O94805,Actin-like protein 6A,ACTL6A,25.74237,26.20313,26.12345,26.03949,25.11613,26.16831,26.31135,26.0092,25.39136,25.62235,25.50312
Q9H568,Actin-like protein 8,ACTL8,21.03181,22.37372,21.69205,21.34402,21.23929,20.93891,21.93998,22.3424,22.24037,20.94421,19.89426
B7TY16;P12814-3;P12814;P12814-2;H9KV75;G3V2N5;B2RCS5;P35609;H7C5W8;G3V2W4;Q08043;H0YJW3;H0YJ11;H0YGN3;G3V5M4;G3V2X9;G3V380,Alpha-actinin-1,ACTN1,26.6979,26.72195,26.83449,27.15682,26.40194,27.80526,27.09899,26.64182,26.19871,26.13048,26.38004
O43707;E7EV83;D6PXK4;F5GXS2;H7C144;G3V2E8;B7Z4P8;D6RH00,Alpha-actinin-4,ACTN4,29.25959,28.75337,29.28771,29.879,29.14798,30.10812,28.78388,29.04046,29.25271,28.17183,28.84233
Q9NZ32;F5H5L9;F6S9Y6;G3V5Y4;H0YJR3;G3V2Q5;G3V524;G3V4K6,Actin-related protein 10,ACTR10,23.50894,23.89162,23.24529,23.5715,23.41351,23.11111,23.80479,23.90021,23.62232,23.90012,23.49997
P61163;B4DXP9;F5H3I4,Alpha-centractin,ACTR1A,24.66471,25.06751,25.14495,25.562,24.99533,26.03655,25.14028,25.1439,24.86712,24.69657,24.88995
P42025;G5E9Q5,Beta-centractin,ACTR1B,22.46354,22.74509,22.79972,23.02454,22.41183,24.1653,22.85163,21.87343,21.73053,22.80656,22.76977
P61160;E9PF41;G3V1L8;F5H6T1,Actin-related protein 2,ACTR2,26.24791,26.17862,26.48145,26.30248,26.04404,26.92965,25.99451,26.18499,25.81756,25.66476,26.11902
P61158;B4DXW1;F5H3P5;B4DTI0,Actin-related protein 3,ACTR3,24.29067,23.90967,24.38166,24.72536,23.49179,25.41944,24.78437,23.76648,23.69413,24.60603,24.42438
Q9H9F9,Actin-related protein 5,ACTR5,22.04394,21.57971,22.23096,22.53008,22.35084,23.02741,22.18776,22.37409,22.38084,20.59341,21.07045
Q9GZN1;F8W057;F8VRL1;F8W0Q1;F8W043;F8VP72;G3V1Y1;F8VSD1,Actin-related protein 6,ACTR6,22.63161,23.10727,23.1651,22.55773,21.81746,22.89151,23.25279,22.50201,22.18855,22.63301,22.21875
Q9H981,Actin-related protein 8,ACTR8,22.81219,22.44526,22.38685,22.66521,22.69937,21.21715,22.68318,22.2739,22.1399,21.99649,22.30045
O14672;A8MY20;C9J9B4;H0YK87;B4DU28;H3BS53;H0YNC5,Disintegrin and metalloproteinase domain-containing protein 10,ADAM10,26.51028,26.85174,26.67855,26.83171,26.13218,26.99335,26.76053,26.21332,25.90228,25.25007,25.64417
Q13444;Q13444-3;Q13444-4;Q13444-5;E9PN65;Q13444-6;Q13444-7;Q13444-2;Q13444-8;Q13444-9;Q13444-10;A6NG98;Q13444-11,Disintegrin and metalloproteinase domain-containing protein 15,ADAM15,26.22948,26.13289,26.23343,26.18452,25.48087,26.69737,26.5479,26.15902,25.78224,26.01067,25.84115
P78536;P78536-2;E7EUI5;A6H8L4,Disintegrin and metalloproteinase domain-containing protein 17,ADAM17,22.90856,21.53592,23.53564,23.05398,22.85846,23.51761,23.04896,22.34283,21.86978,22.78688,22.30318
Q13443;A0AVL1;Q13443-2;F8WC54;C9JPM3;C9J6H5,Disintegrin and metalloproteinase domain-containing protein 9,ADAM9,25.91657,25.98227,25.8983,25.87828,25.52229,25.85303,25.6593,25.60003,25.38798,25.5636,25.52859
Q9UHI8;H7C206;E5RI60;E5RJR7,A disintegrin and metalloproteinase with thrombospondin motifs 1,ADAMTS1,22.79348,21.06933,20.39425,24.37524,22.75236,24.03187,24.1673,22.28351,22.83154,23.54428,23.23936
E7ENU4;P55265-4;P55265;P55265-2;H0YCK3;P55265-3;P55265-5,Double-stranded RNA-specific adenosine deaminase,ADAR,27.1776,27.22039,27.29833,27.76528,27.05827,28.16739,27.23361,26.98739,26.55871,27.32414,27.40722
Q8NI60;Q8NI60-3;Q5T7A4;Q5T7A2;B4DED1;Q8NI60-4,"Chaperone activity of bc1 complex-like, mitochondrial",ADCK3;CABC1,22.38427,23.08018,23.01769,22.324,22.14105,22.14945,22.3157,22.23739,22.06296,21.61849,21.99459
P35611-3;P35611;E7ENY0;A2A3N8;Q86XM2;E7EV99;P35611-2;Q96D30;D6RF25;D6RAH3;D6RJE2;H0Y9H2;P35612;P35612-3;P35612-4;P35612-8;P35612-2,Alpha-adducin,ADD1,23.90242,24.32292,24.63611,24.31631,23.7959,24.18971,23.95996,23.54604,23.96076,23.75593,23.72713
Q9UEY8;Q9UEY8-2,Gamma-adducin,ADD3,23.26999,24.08034,23.68067,22.87081,21.82299,23.30591,23.934,22.55628,22.3788,23.29348,23.19156
P11766;H0YAG8;D6RFE4;D6R9G2;D6RAY0,Alcohol dehydrogenase class-3,ADH5,24.21052,24.55139,24.73231,24.67185,23.85177,25.31071,25.16948,24.21119,23.92859,24.05598,24.19768
Q9BV57;Q9BV57-2,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",ADI1,23.70736,24.48726,24.33443,24.08408,23.73923,24.42611,24.61082,24.26964,24.1137,23.82289,23.9917
Q96A54;C9JNM5;C9J0W7;F8W782,Adiponectin receptor protein 1,ADIPOR1,20.92883,21.27133,21.30825,20.30385,,20.60368,20.27264,,,20.34343,
P55263;P55263-3;P55263-2;B7Z800,Adenosine kinase,ADK,22.21558,22.49179,23.00215,22.90049,23.13984,23.6402,23.04895,22.58667,22.91218,22.43099,23.31119
P35318;E9PL83;E9PQT2;E9PML4;E9PQE6,ADM;Adrenomedullin;Proadrenomedullin N-20 terminal peptide,ADM,21.57985,22.08848,22.25768,22.82869,20.78612,22.6231,22.40174,21.3878,21.10015,22.1777,23.63423
Q9H2P0;E9PQK8,Activity-dependent neuroprotector homeobox protein,ADNP,25.14091,25.33026,25.34655,25.01924,24.59303,25.11807,24.67568,24.98594,24.59394,24.59309,24.59377
Q9BRR6;Q9BRR6-2;H3BRS6;H3BN66;Q9BRR6-6;H3BTH4,ADP-dependent glucokinase,ADPGK,,,,21.97011,,22.41537,22.87294,22.31532,,,
Q9NX46;B4DHV5,Poly(ADP-ribose) glycohydrolase ARH3,ADPRHL2,,,,,19.21836,21.60892,20.30385,,20.03832,,19.70774
Q16186;E9PEC0,Proteasomal ubiquitin receptor ADRM1,ADRM1,24.51093,24.80907,24.79352,24.95087,24.37106,24.87666,24.67992,24.39257,24.04902,24.39329,24.32643
P30566;E7ERF4;P30566-2;B4DUM2;B0QY75;B4DEP1,Adenylosuccinate lyase,ADSL,24.33518,24.33804,24.18518,24.36646,24.40367,24.80016,24.99697,24.18624,23.92976,23.28644,23.39284
P30520;F8W9D6;Q8N142;Q5SY84,Adenylosuccinate synthetase isozyme 2;Adenylosuccinate synthetase,ADSS,22.92731,23.36159,22.81466,23.08957,22.61538,23.44291,23.27242,22.36973,23.12173,21.64974,22.4822
Q08117;Q08117-2,Amino-terminal enhancer of split,AES,21.2898,21.22582,21.50669,21.56611,20.45573,21.45754,22.32358,21.02337,20.97722,20.93596,21.0034
E9PDT7;Q8N556,Actin filament-associated protein 1,AFAP1,,20.49082,21.04973,,20.07783,22.79565,20.75491,21.32174,,20.33243,22.4234
E9PBM3;P51825;F5GXF9;F5H1V4;E7EMS5;E7EMC5;E7ETI4,AF4/FMR2 family member 1,AFF1,22.21836,22.14074,21.97481,22.63061,20.98378,21.89264,21.572,21.87631,21.82912,22.94541,21.88263
Q9UHB7;Q9UHB7-2;Q9UHB7-3;H7C319;C9JCE0,AF4/FMR2 family member 4,AFF4,24.59986,24.72863,24.81807,24.84704,24.09844,24.73934,24.21645,24.12274,23.37941,24.36346,24.66601
Q8TA92;Q9Y4W6;Q01484;Q01484-2;F8WEF9;Q01484-5;E9PHW9;B7Z651,AFG3-like protein 2,AFG3L2,24.59087,25.02153,25.09059,24.43847,23.88362,24.659,24.61217,24.83788,24.07088,24.75226,24.69429
F8VVT9;Q99490;Q99490-2,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2",AGAP2,,,21.90852,,,,,,,,
Q96P47-4;Q96P47-2;Q96P47;E9PAL8;Q96P47-3;C9J975;E7EUN2;Q9UPQ3;Q9UPQ3-2;E7ESL9;Q9UPQ3-3;H7C4F1;C9J8Z2,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3;Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1",AGAP3;AGAP1,21.00141,22.07966,21.9693,21.98645,21.56556,21.31307,22.26207,21.68007,21.5739,20.54774,21.39111
E9PHX7;F5GYJ2;P52594;P52594-3;P52594-2;B8ZZY2;C9J2I0,Arf-GAP domain and FG repeat-containing protein 1,AGFG1,22.83982,23.59787,23.35474,23.37411,22.83767,23.64845,23.85529,23.70081,23.21805,23.6502,23.88185
Q8N302;Q8N302-3;Q8N302-2,Angiogenic factor with G patch and FHA domains 1,AGGF1,21.02898,21.40291,20.4707,,20.03872,21.1646,20.71448,20.67254,20.62132,20.64165,20.4959
Q53H12;E9PC15;E9PG39,"Acylglycerol kinase, mitochondrial",AGK,21.22588,20.63085,21.49945,20.8723,21.0486,,20.88822,20.98364,21.57681,21.18071,21.16276
